semester,group,n_students,feature,raw_feature,family,mean_abs_shap,mean_shap
2,Average,43,Department_FSM,categorical__Department_FSM,Demographic,0.026347636292561216,0.007860417797392402
2,Average,43,District_Badulla,categorical__District_Badulla,Demographic,0.0038173845977299906,-0.0015088705740076694
2,Average,43,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.00046728335790545964,-0.00046728335790545964
2,Average,43,District_Colombo,categorical__District_Colombo,Demographic,0.00902966271320835,0.0006817546206743546
2,Average,43,District_Galle,categorical__District_Galle,Demographic,0.00302151203856821,0.000589929020269249
2,Average,43,District_Gampaha,categorical__District_Gampaha,Demographic,0.01432266801524034,-0.0038859811022487548
2,Average,43,District_Kalutara,categorical__District_Kalutara,Demographic,0.005105564477927865,-0.0031986719357829014
2,Average,43,District_Kandy,categorical__District_Kandy,Demographic,0.004080067848867877,0.00015499628055515253
2,Average,43,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.0021312117669922553,0.00022248272617952984
2,Average,43,District_Matara,categorical__District_Matara,Demographic,0.00798853707876036,0.0015025993813193516
2,Average,43,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.004421658719510398,-0.0027356498094520836
2,Average,43,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.006806401499524864,0.00023136744161265504
2,Average,43,MediumAL_S,categorical__MediumAL_S,Demographic,0.0048870314684260185,0.0011972709308230955
2,Average,43,MediumAL_T,categorical__MediumAL_T,Demographic,0.008096234680188923,-0.0011636299071180513
2,Average,43,District_Kegalle,categorical__District_Kegalle,Demographic,0.005392797949410475,0.0004850175011930939
2,Average,43,District_Puttalam,categorical__District_Puttalam,Demographic,0.0008332266669219962,-0.0008332266669219962
2,Average,43,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.000321928710807424,-0.000321928710807424
2,Performing,88,Zscore,numeric__Zscore,Pre-academic,0.00873968380597963,0.0028773414697101235
2,Performing,88,English,numeric__English,Pre-academic,0.04985945830745692,0.029293541208209418
2,Performing,88,S1,numeric__S1,Semester GPA,0.11918329672055362,0.10267947939029064
2,Performing,88,S2,numeric__S2,Semester GPA,0.1939893993719105,0.17919255923733396
2,Performing,88,Maths 2,numeric__Maths 2,Module grade,0.026276087201390085,-0.0074743929150919855
2,Performing,88,MgtAccounting,numeric__MgtAccounting,Module grade,0.015214067360459898,0.00737299183694757
2,Performing,88,Missing: English,numeric__missingindicator_English,Pre-academic,0.0027899649281771938,0.0009368633507622001
2,Performing,88,Gender_M,categorical__Gender_M,Demographic,0.014643111204045045,0.004128735648696214
2,Performing,88,Department_BPM,categorical__Department_BPM,Demographic,0.007426349294232546,-0.0004608841279239211
2,Performing,88,Department_FSM,categorical__Department_FSM,Demographic,0.03583093490304601,-0.0073665058759707965
2,Performing,88,District_Badulla,categorical__District_Badulla,Demographic,0.005737270228089264,0.0006735615341468568
2,Performing,88,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.0004566632815894263,-0.0004566632815894263
2,Performing,88,District_Colombo,categorical__District_Colombo,Demographic,0.00863412062071818,0.0014111224529066583
2,Performing,88,District_Galle,categorical__District_Galle,Demographic,0.0006756125265772108,0.0002056874441805955
2,Performing,88,District_Gampaha,categorical__District_Gampaha,Demographic,0.01938360887549999,0.002582706128648364
2,Performing,88,District_Kalutara,categorical__District_Kalutara,Demographic,0.009809160590123019,0.0022036385321515892
2,Performing,88,District_Kandy,categorical__District_Kandy,Demographic,0.005604697723627041,-0.0015016983277707752
2,Performing,88,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.0029169345196156608,0.00037078785073160276
2,Performing,88,District_Matara,categorical__District_Matara,Demographic,0.006216240706901951,-0.0004830243096637438
2,Performing,88,District_Ratnapura,categorical__District_Ratnapura,Demographic,0.0030091172646572726,-0.0012531692054635194
2,Performing,88,District (rare categories),categorical__District_infrequent_sklearn,Demographic,0.005587728310291177,-0.0011744284063162922
2,Performing,88,MediumAL_S,categorical__MediumAL_S,Demographic,0.006102019241486859,-0.0008147771146371354
2,Performing,88,MediumAL_T,categorical__MediumAL_T,Demographic,0.006827934924322066,0.0006728909444633128
2,Performing,88,District_Kegalle,categorical__District_Kegalle,Demographic,0.003042022578267878,0.003042022578267878
2,Performing,88,District_Puttalam,categorical__District_Puttalam,Demographic,0.0008356166205506496,-0.0008356166205506496
2,Performing,88,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,0.000297133696464933,-0.000297133696464933
3,Underperforming,46,Zscore,numeric__Zscore,Pre-academic,0.01898267681640916,-0.012575609158540836
3,Underperforming,46,English,numeric__English,Pre-academic,0.013475329147486522,0.0003255899540145735
3,Underperforming,46,S1,numeric__S1,Semester GPA,0.12586042800013333,-0.1251612742451887
