semester,feature,raw_feature,family,underperforming_mean_shap,underperforming_mean_abs_shap,other_students_mean_shap,difference_under_minus_other,difference_ci_lower,difference_ci_upper,consistent_negative_signal
2,Missing: English,numeric__missingindicator_English,Pre-academic,-5.06849342513625e-05,5.06849342513625e-05,-1.3956721025737454e-05,-3.672821322562505e-05,-0.00011018463967687518,1.3552527156068805e-20,False
2,Gender_M,categorical__Gender_M,Demographic,-0.006410981064848834,0.015580174913411696,0.0035825435138251956,-0.009993524578674029,-0.01625973458476153,-0.0029696973714195035,True
2,Department_BPM,categorical__Department_BPM,Demographic,0.00031821200221700697,0.004693627032700856,0.0013904480966438792,-0.0010722360944268722,-0.003234002413835888,0.0010549419638715995,False
2,Department_FSM,categorical__Department_FSM,Demographic,0.003510538961325064,0.03159485065192558,0.008852663467689292,-0.0053421245063642285,-0.024421140600522185,0.010875039173670036,False
2,District_Badulla,categorical__District_Badulla,Demographic,0.0016104420401456315,0.004335805492699779,-0.0009479525052362249,0.0025583945453818563,-0.0010772187559502557,0.007203900430417332,False
2,District_Batticaloa,categorical__District_Batticaloa,Demographic,0.00012337469747022325,0.0057986107811004795,-0.0018881692830225426,0.0020115439804927657,-0.0032184703687884253,0.009253102310266725,False
2,District_Colombo,categorical__District_Colombo,Demographic,0.003460412002836214,0.005876171325570928,0.0008345866520376104,0.0026258253507986033,-0.00042580951634571865,0.00539358720704578,False
2,District_Galle,categorical__District_Galle,Demographic,-0.0006874550687912857,0.0013963931084822988,-0.00017373185162388477,-0.0005137232171674009,-0.002311754477253304,0.0007472337704253106,False
2,District_Gampaha,categorical__District_Gampaha,Demographic,-0.006063276213673843,0.006063276213673843,0.01883423480865836,-0.024897511022332203,-0.035149427325645466,-0.014645594719018943,True
2,District_Kalutara,categorical__District_Kalutara,Demographic,0.008208036451192462,0.01478435481269004,0.0018660491460542315,0.006341987305138231,-0.0036547045487237274,0.017198609641052832,False
2,District_Kandy,categorical__District_Kandy,Demographic,0.0024795651109852197,0.0024795651109852197,-0.0003952929887077875,0.0028748580996930074,0.0007187145249232512,0.005749716199386017,False
2,District_Kegalle,categorical__District_Kegalle,Demographic,-0.00111155013973893,0.006589904399880799,0.0014774641608952235,-0.0025890143006341536,-0.011909465782917107,0.004142422881014646,False
2,District_Kurunegala,categorical__District_Kurunegala,Demographic,0.0007702129169095809,0.0007702129169095809,-0.00034603768730720263,0.0011162506042167834,0.00027906265105419597,0.0022325012084335673,False
2,District_Matara,categorical__District_Matara,Demographic,-0.002533267987169066,0.007599803961507198,-0.0033713056010718757,0.0008380376139028095,-0.0038310290921271337,0.007302899206867346,False
2,District_Nuwaraeliya,categorical__District_Nuwaraeliya,Demographic,-0.00032696316745161913,0.00032696316745161913,0.0001468964955217419,-0.00047385966297336103,-0.0014215789889200834,-1.0842021724855044e-19,True
2,District_Puttalam,categorical__District_Puttalam,Demographic,-0.001187011755318727,0.001187011755318727,-0.0003268583094355914,-0.0008601534458831356,-0.002580460337649407,0.0,False
2,District_Ratnapura,categorical__District_Ratnapura,Demographic,-4.4401339783460825e-05,0.0002341161552218844,-4.001385561513464e-05,-4.387484168326183e-06,-0.00021059924007965611,0.0002632490500995701,False
2,District_infrequent_sklearn,categorical__District_infrequent_sklearn,Demographic,-0.0008963145390839339,0.002439337036747416,0.00039858125898724236,-0.0012948957980711763,-0.002626788618944386,3.699702280203347e-05,False
2,MediumAL_S,categorical__MediumAL_S,Demographic,-5.5134521808567504e-05,0.00215024635053412,-0.00011506334986135787,5.9928828052790364e-05,-0.0012465196234980411,0.001270491154719157,False
2,MediumAL_T,categorical__MediumAL_T,Demographic,-0.0021721883890288107,0.011016098258646112,0.002347582482552876,-0.004519770871581686,-0.01133315681232423,0.0017539409352406543,False
3,Zscore,numeric__Zscore,Pre-academic,-0.00617846787257595,0.012480323881978608,0.00815518722977739,-0.014333655102353338,-0.02208264506982143,-0.006937490441120563,True
3,English,numeric__English,Pre-academic,0.0030860042114135102,0.003863935533290501,-0.0012434440007576138,0.004329448212171124,0.002934352278897235,0.005652403316725141,False
3,S1,numeric__S1,Semester GPA,-0.08535849949302084,0.10373127173360147,0.10860393485535615,-0.19396243434837698,-0.23180842230205317,-0.15447657079189206,True
3,S2,numeric__S2,Semester GPA,0.051415425163521655,0.10157834890517048,0.19806973803179606,-0.1466543128682744,-0.19457834038226915,-0.10139634512083125,False
3,S3,numeric__S3,Semester GPA,-0.22509266439557193,0.22509266439557193,0.09303730447470979,-0.3181299688702817,-0.3718555778866309,-0.26696827083074154,True
3,Maths 2,numeric__Maths 2,Module grade,-0.019684293839207483,0.020691983110789947,-0.029629250953762693,0.00994495711455521,0.005065518049682237,0.015335024296605437,False
3,MgtAccounting,numeric__MgtAccounting,Module grade,0.003398174340092558,0.006657820774474188,0.008087473011673658,-0.0046892986715810995,-0.007866713367790048,-0.001714544032640025,False
3,StatsII,numeric__StatsII,Module grade,0.017345871393031582,0.020938802176398305,-0.019256026140420508,0.03660189753345209,0.026252694733537064,0.04680031006196372,False
3,MIS,numeric__MIS,Module grade,-0.00936296225033596,0.00936296225033596,-0.0007163035725821353,-0.008646658677753823,-0.010780993450709314,-0.006532886398342667,True
3,Missing: English,numeric__missingindicator_English,Pre-academic,-0.00015361516409404435,0.00015361516409404435,-4.2299827794012003e-05,-0.00011131533630003235,-0.000333946008900097,2.710505431213761e-20,False
3,Missing: StatsII,numeric__missingindicator_StatsII,Module grade,-0.050494971287545785,0.0690219031988036,0.009918937118729671,-0.06041390840627546,-0.09990012305089994,-0.020927693761650976,True
3,Missing: MIS,numeric__missingindicator_MIS,Module grade,0.006196344229744031,0.006196344229744031,0.006196344229744029,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,False
3,Gender_M,categorical__Gender_M,Demographic,-0.0008920358197670986,0.0021678544922246923,0.0004984817624448428,-0.0013905175822119414,-0.0022699259990703042,-0.00045849498656718064,True
3,Department_BPM,categorical__Department_BPM,Demographic,0.0006941995560690449,0.010239443452018413,0.0030333502341277838,-0.002339150678058739,-0.007281549691376396,0.0022269091737486487,False
3,Department_FSM,categorical__Department_FSM,Demographic,0.0022323526932447393,0.020091174239202654,0.005629411139486735,-0.0033970584462419953,-0.01540808652402619,0.007036763924358418,False
